teamID,year,season,name,sheetName,Ladder Name,Ladder API,Results API
team_1762633769992,2025,Season 2,U11 Flames,data_team_1762633769992,HG 11 Flames,,
team_1763710520310,2025,NFNL,Hazel Glen 6,data_team_1763710520310,,https://websites.mygameday.app/comp_info.cgi?c=0-9074-0-655969-0&pool=1&a=LADDER,https://websites.mygameday.app/comp_info.cgi?c=0-9074-0-655969-0&pool=1&a=RESULTS
