Date,RK,Team,P,W,L,D,F,A,PTS
12/9/2025,6,Eltham Lions,9,1,7,1,43,118,10
12/9/2025,7,DC Gravity,9,1,7,1,42,116,10
12/9/2025,8,Montmorency 11 Swoopers,9,1,8,0,52,107,8
12/9/2025,1,Montmorency 11 White,9,8,1,0,116,34,36
12/9/2025,2,DC Rockets,9,7,0,2,116,45,36
12/9/2025,3,HG 11 Flames,9,6,2,1,101,64,30
12/9/2025,4,DC Galaxy,9,5,3,1,71,67,26
12/9/2025,5,DC Nova,9,4,5,0,81,71,20
12/9/2025,6,Eltham Lions,9,1,7,1,43,118,10
12/9/2025,7,DC Gravity,9,1,7,1,42,116,10
12/9/2025,8,Montmorency 11 Swoopers,9,1,8,0,52,107,8
12/9/2025,1,Montmorency 11 White,9,8,1,0,116,34,36
12/9/2025,2,DC Rockets,9,7,0,2,116,45,36
12/9/2025,3,HG 11 Flames,9,6,2,1,101,64,30
12/9/2025,4,DC Galaxy,9,5,3,1,71,67,26
12/9/2025,5,DC Nova,9,4,5,0,81,71,20
12/9/2025,6,Eltham Lions,9,1,7,1,43,118,10
12/9/2025,7,DC Gravity,9,1,7,1,42,116,10
12/9/2025,8,Montmorency 11 Swoopers,9,1,8,0,52,107,8
